x	E1095
0	0
0.01	-0.00455009
0.02	-0.00907702
0.03	-0.0135575
0.04	-0.0179913
0.05	-0.0223817
0.06	-0.0267282
0.07	-0.0310302
0.08	-0.0352881
0.09	-0.0395026
0.1	-0.0436739
0.11	-0.0478024
0.12	-0.0518886
0.13	-0.0559327
0.14	-0.0599353
0.15	-0.0638966
0.16	-0.067817
0.17	-0.071697
0.18	-0.075537
0.19	-0.0793372
0.2	-0.0830982
0.21	-0.0868202
0.22	-0.0905038
0.23	-0.0941493
0.24	-0.097757
0.25	-0.101327
0.26	-0.104861
0.27	-0.108358
0.28	-0.111818
0.29	-0.115243
0.3	-0.118632
0.31	-0.121987
0.32	-0.125306
0.33	-0.128591
0.34	-0.131842
0.35	-0.135059
0.36	-0.138243
0.37	-0.141393
0.38	-0.144511
0.39	-0.147596
0.4	-0.150649
0.41	-0.15367
0.42	-0.15666
0.43	-0.159618
0.44	-0.162626
0.45	-0.165689
0.46	-0.168855
0.47	-0.171987
0.48	-0.175087
0.49	-0.178152
0.5	-0.181184
0.51	-0.175716
0.52	-0.170104
0.53	-0.164352
0.54	-0.158466
0.55	-0.15245
0.56	-0.146313
0.57	-0.140063
0.58	-0.133706
0.59	-0.127254
0.6	-0.120714
0.61	-0.114097
0.62	-0.107413
0.63	-0.100672
0.64	-0.0938828
0.65	-0.0870558
0.66	-0.0802
0.67	-0.0733244
0.68	-0.0664374
0.69	-0.0595471
0.7	-0.0526611
0.71	-0.0457862
0.72	-0.0389293
0.73	-0.0320962
0.74	-0.0252926
0.75	-0.0185236
0.76	-0.011794
0.77	-0.00510807
0.78	0.00153033
0.79	0.00811762
0.8	0.0146506
0.81	0.0211264
0.82	0.0275424
0.83	0.0338963
0.84	0.0401861
0.85	0.04641
0.86	0.0525663
0.87	0.0586538
0.88	0.0646711
0.89	0.0706174
0.9	0.0764918
0.91	0.0822937
0.92	0.0880225
0.93	0.0936778
0.94	0.0992595
0.95	0.104767
0.96	0.110201
0.97	0.115562
0.98	0.120848
0.99	0.126062
1	0.131202
1.01	0.131201
1.02	0.131201
1.03	0.13119
1.04	0.13119
1.05	0.131189
1.06	0.131189
1.07	0.131196
1.08	0.131196
1.09	0.131191
1.1	0.131191
1.11	0.131193
1.12	0.131193
1.13	0.131198
1.14	0.131198
1.15	0.131209
1.16	0.131209
1.17	0.131206
1.18	0.131206
1.19	0.131198
1.2	0.131198
1.21	0.131191
1.22	0.131191
1.23	0.131183
1.24	0.131183
1.25	0.13118
1.26	0.13118
1.27	0.131176
1.28	0.131176
1.29	0.131188
1.3	0.131188
1.31	0.131193
1.32	0.131193
1.33	0.131187
1.34	0.131187
1.35	0.131181
1.36	0.131181
1.37	0.131179
1.38	0.131179
1.39	0.131184
1.4	0.131184
1.41	0.13118
1.42	0.13118
1.43	0.131171
1.44	0.131171
1.45	0.131171
1.46	0.131171
1.47	0.131171
1.48	0.131171
1.49	0.131173
1.5	0.131173
1.51	0.131169
1.52	0.131169
1.53	0.131176
1.54	0.131176
1.55	0.13802
1.56	0.152406
1.57	0.171004
1.58	0.189771
1.59	0.207903
1.6	0.224221
1.60909	0.236749
1.61752	0.246583
1.62622	0.255227
1.63518	0.262851
1.64435	0.269571
1.65369	0.274922
1.66315	0.279791
1.67271	0.28451
1.68236	0.288961
1.69208	0.292644
1.70185	0.295358
1.71167	0.297817
1.72153	0.300199
1.73051	0.302102
1.7397	0.303803
1.74905	0.305311
1.75854	0.306642
1.76812	0.307816
1.77779	0.308853
1.78752	0.309769
1.79731	0.310583
1.80714	0.311307
1.817	0.311956
1.82689	0.312537
1.83681	0.31306
1.84674	0.313531
1.85668	0.313955
1.86664	0.314335
1.8766	0.314674
1.88657	0.314975
1.89655	0.31524
1.90653	0.315471
1.91652	0.315669
1.92651	0.315837
1.9365	0.315975
1.94649	0.316084
1.95648	0.316163
1.96648	0.316214
1.97647	0.316235
1.98647	0.316262
1.99647	0.316249
2.00647	0.316197
2.01646	0.31613
2.02646	0.316037
2.03646	0.315933
2.04646	0.315824
2.05646	0.315736
2.06646	0.315792
2.07646	0.317432
2.08646	0.317236
2.09646	0.316923
2.1	0.316838
